customer_code,customer_name,customer_type,channel,store_code,store_name,city,province,source_system,load_timestamp,batch_id
CUST-181532,Bhekizizwe Mvubu,Bulk,Online,SHOP,Shoprite,Kimberley,Northern Cape,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-396984,Thalente Dlomo,Bulk,Online,SHOP,Shoprite,Pretoria,Gauteng,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-338084,Nkosazana Olwethu Gcwensa,Wholesale,In-Store,C60,Checkers Sixty60,Soweto,Gauteng,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-598036,S'fiso Hangala,Bulk,In-Store,C60,Checkers Sixty60,Mbombela,Mpumalanga,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-542698,Mama Sihawukele Mthembu,Retail,In-Store,SHOP,Shoprite,Tembisa,Gauteng,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-136964,Dr. Thandiwe Mhlanga,Wholesale,Online,CHK,Checkers,Pretoria,Gauteng,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-391237,Langalibalele Dinwa,Wholesale,Online,SHOP,Shoprite,Pretoria,Gauteng,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-240122,Mnumzane Mthokozisi Mdaka,Retail,Online,USV,Usave,Soweto,Gauteng,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-961104,Dr. Mandlakhe Mbatshazwa,Wholesale,In-Store,USV,Usave,Soweto,Gauteng,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-933873,Mnumzane Mthokozisi Sikwayo,Wholesale,Online,CHK,Checkers,Soweto,Gauteng,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-751673,Bandile Mabuyakhulu-Mhlangu,Wholesale,Online,CHK,Checkers,Polokwane,Limpopo,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-217302,Nonhlanhla Sikhosana,Wholesale,Online,C60,Checkers Sixty60,Cape Town,Western Cape,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-960067,Mnumzane Zenzele Phikela,Bulk,In-Store,SHOP,Shoprite,Soweto,Gauteng,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-380985,Zibuyile Shamase,Bulk,Online,CHK,Checkers,Johannesburg,Gauteng,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-561360,Mthokozisi Lange,Wholesale,In-Store,C60,Checkers Sixty60,Soweto,Gauteng,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-260643,Mrs. Sithembiso Simelane,Wholesale,In-Store,CHK,Checkers,Cape Town,Western Cape,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-109772,S'fiso Njomane,Retail,Online,CHK,Checkers,Polokwane,Limpopo,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-376354,Bandile Mbonambi,Bulk,Online,CHK,Checkers,Polokwane,Limpopo,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-684893,Minenhle Duyaza,Wholesale,In-Store,SHOP,Shoprite,Polokwane,Limpopo,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-122418,Thando Magwaza,Retail,Online,C60,Checkers Sixty60,Soweto,Gauteng,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-595242,Bhuti Njabulo Phethela,Retail,In-Store,CHK,Checkers,Kimberley,Northern Cape,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-734074,Bandile Nkundlande,Bulk,In-Store,C60,Checkers Sixty60,Rustenburg,North West,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-251828,Owethu Gumbi,Retail,Online,USV,Usave,Durban,KwaZulu-Natal,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-624091,Dr. Zinhle Njomane,Bulk,Online,USV,Usave,Pretoria,Gauteng,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-582602,Ms. Thalente Ngotsha,Retail,In-Store,USV,Usave,Pretoria,Gauteng,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-198880,Mlungisi Vangisa,Retail,Online,SHOP,Shoprite,Johannesburg,Gauteng,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-436305,Andile Sotobe,Retail,In-Store,USV,Usave,Cape Town,Western Cape,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-812687,Dade Thalente Sondini,Retail,In-Store,CHK,Checkers,Rustenburg,North West,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-553283,Nokulunga Mzomba,Bulk,In-Store,CHK,Checkers,Pietermaritzburg,KwaZulu-Natal,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-353605,Dr. Bhekani Makhedama,Bulk,In-Store,USV,Usave,Mbombela,Mpumalanga,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-181640,Thando Mzulwini,Bulk,In-Store,SHOP,Shoprite,Pretoria,Gauteng,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-129526,Nomcebo Songiya,Retail,Online,USV,Usave,Johannesburg,Gauteng,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-842458,Mama Nonhlanhla Galu,Bulk,Online,USV,Usave,Bloemfontein,Free State,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-452906,Dr. Sibusiso Khumbuza,Bulk,In-Store,USV,Usave,Tembisa,Gauteng,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-602953,Lwandile Mcanyana,Bulk,Online,CHK,Checkers,Bloemfontein,Free State,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-976216,Nomvula Cebekhulu,Bulk,Online,USV,Usave,Polokwane,Limpopo,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-170865,Mr. Njabulo Fakude,Bulk,Online,SHOP,Shoprite,Durban,KwaZulu-Natal,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-997346,Nkosikazi Thembeka Sangwani,Wholesale,In-Store,USV,Usave,Pietermaritzburg,KwaZulu-Natal,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-854979,Gugu Maseko,Retail,In-Store,C60,Checkers Sixty60,Pretoria,Gauteng,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-941211,Minenhle Mpumuza-Guliwe,Wholesale,In-Store,CHK,Checkers,Stellenbosch,Western Cape,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-374588,Miss Nozizwe Mcanyana,Wholesale,Online,CHK,Checkers,Rustenburg,North West,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-358141,Dr. Langalibalele Mgilija,Bulk,In-Store,CHK,Checkers,Tembisa,Gauteng,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-949405,SimphiweyiNkosi Yengwa,Wholesale,Online,SHOP,Shoprite,Pretoria,Gauteng,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-549753,Mandlakhe Mntimande-Nsibande,Wholesale,In-Store,USV,Usave,Rustenburg,North West,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-979428,Miss Zinhle Gcwabe,Bulk,In-Store,SHOP,Shoprite,Pietermaritzburg,KwaZulu-Natal,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-447172,Thandeka Njomane,Retail,Online,SHOP,Shoprite,Soweto,Gauteng,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-348137,Mnumzane Lwandile Magwaza,Wholesale,In-Store,C60,Checkers Sixty60,Bloemfontein,Free State,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-702615,Sphiwe Ximba,Wholesale,Online,SHOP,Shoprite,Bloemfontein,Free State,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-532487,Zakhele Mbhodwe,Bulk,In-Store,USV,Usave,Johannesburg,Gauteng,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-247906,Thandeka Phoseka,Bulk,Online,CHK,Checkers,Soweto,Gauteng,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-490836,Mr. Musa Ntenga,Retail,Online,SHOP,Shoprite,Durban,KwaZulu-Natal,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-646958,Nkosazana Nomusa Nowanqa,Bulk,In-Store,CHK,Checkers,Mbombela,Mpumalanga,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-126571,Mzamo Cibane,Wholesale,Online,CHK,Checkers,Johannesburg,Gauteng,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-608077,Mcebisi Khuboni,Bulk,In-Store,USV,Usave,Mbombela,Mpumalanga,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-773233,Mcebisi Nonkosi,Wholesale,Online,USV,Usave,Johannesburg,Gauteng,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-157264,Nobantu Makhathini,Wholesale,In-Store,CHK,Checkers,Tembisa,Gauteng,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-569552,Lwandile Mzileni-Nyambose,Wholesale,Online,SHOP,Shoprite,Pietermaritzburg,KwaZulu-Natal,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-605351,Siyabonga Sithombo,Retail,Online,CHK,Checkers,Polokwane,Limpopo,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-105745,Mandlakhe Hadebe,Wholesale,Online,USV,Usave,Mbombela,Mpumalanga,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-364306,S'fiso Qwabe,Bulk,Online,SHOP,Shoprite,Johannesburg,Gauteng,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-982776,Baba Musa Nxele,Wholesale,In-Store,CHK,Checkers,Cape Town,Western Cape,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-451357,Vusumuzi Xala-Wanda,Bulk,Online,CHK,Checkers,Pietermaritzburg,KwaZulu-Natal,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-264560,Vusumuzi Magubane,Wholesale,Online,USV,Usave,Tembisa,Gauteng,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-665921,Vusumuzi Madziba,Bulk,Online,CHK,Checkers,Mbombela,Mpumalanga,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-640747,Mr. Mlungisi Hlongwane,Bulk,Online,USV,Usave,Stellenbosch,Western Cape,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-694903,Thuthukile Soduba,Bulk,Online,SHOP,Shoprite,Johannesburg,Gauteng,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-755765,Ms. Sibusisiwe Khuyameni,Retail,In-Store,USV,Usave,Bloemfontein,Free State,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-857407,Bhekani Mathibela-Khaba,Retail,Online,SHOP,Shoprite,Mbombela,Mpumalanga,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-678478,Jabulani Fanisa-Mkhonza,Retail,Online,USV,Usave,Mbombela,Mpumalanga,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-691252,Lwandile Sigegede-Goje,Wholesale,Online,CHK,Checkers,Mbombela,Mpumalanga,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-685883,Zinhle Shange,Wholesale,Online,C60,Checkers Sixty60,Durban,KwaZulu-Natal,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-106535,Nkosazana Sibusisiwe Tiba,Wholesale,Online,CHK,Checkers,Kimberley,Northern Cape,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-387480,Nomusa Xhakaza,Bulk,In-Store,C60,Checkers Sixty60,Durban,KwaZulu-Natal,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-753623,Siyabonga Mbatshazwa,Retail,In-Store,USV,Usave,Soweto,Gauteng,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-845670,Siyabonga Mlaba,Bulk,Online,C60,Checkers Sixty60,Pietermaritzburg,KwaZulu-Natal,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-974469,Nomalanga Gumbi,Bulk,Online,USV,Usave,Stellenbosch,Western Cape,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-127671,Simphiwe Mkhandlela,Bulk,In-Store,C60,Checkers Sixty60,Tembisa,Gauteng,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-345675,Silondile Hhoyiyane-Nene,Bulk,Online,C60,Checkers Sixty60,Cape Town,Western Cape,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-669775,Ms. Owethu Mkhungo,Retail,In-Store,CHK,Checkers,Mbombela,Mpumalanga,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-559442,Nhlanhla Ndlondlo-Shoyisa,Retail,In-Store,USV,Usave,Johannesburg,Gauteng,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-869899,Mama Simphiwe Ncube,Wholesale,Online,USV,Usave,Cape Town,Western Cape,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-588607,Baba Lungile Jali,Wholesale,Online,SHOP,Shoprite,Durban,KwaZulu-Natal,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-826330,Minenhle Mnyandu,Retail,Online,C60,Checkers Sixty60,Bloemfontein,Free State,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-770713,Mnumzane Siyabonga Meyiwa,Retail,Online,USV,Usave,Tembisa,Gauteng,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-614079,Thembisile Miya,Retail,In-Store,USV,Usave,Mbombela,Mpumalanga,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-581792,Mandlakhe Makhoba,Bulk,Online,SHOP,Shoprite,Tembisa,Gauteng,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-683922,Bhuti Luyanda Mbhense,Wholesale,Online,USV,Usave,Rustenburg,North West,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-602801,Mthokozisi Dwala,Wholesale,In-Store,CHK,Checkers,Kimberley,Northern Cape,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-927321,Dumisani Hlabisa,Retail,In-Store,USV,Usave,Durban,KwaZulu-Natal,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-315814,Mama Simphiwe Ngwekazi,Wholesale,In-Store,C60,Checkers Sixty60,Johannesburg,Gauteng,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-982884,Dr. Londiwe Masina,Bulk,Online,SHOP,Shoprite,Pietermaritzburg,KwaZulu-Natal,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-524093,Bandile Dlamane,Bulk,Online,CHK,Checkers,Tembisa,Gauteng,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-536399,Bhekani Mdletshe,Wholesale,Online,CHK,Checkers,Polokwane,Limpopo,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-400953,Busisiwe Mthiya,Retail,In-Store,C60,Checkers Sixty60,Tembisa,Gauteng,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-885596,Mrs. Zakhele Dimba,Retail,Online,C60,Checkers Sixty60,Kimberley,Northern Cape,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-827342,Baba Sibonelo Nkundlande,Wholesale,In-Store,CHK,Checkers,Soweto,Gauteng,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-532478,Miss Ndumiso Jama,Wholesale,In-Store,SHOP,Shoprite,Tembisa,Gauteng,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-277479,Sphiwe Mntungwa,Bulk,In-Store,USV,Usave,Kimberley,Northern Cape,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-779341,Jabulani Makhaza,Retail,Online,SHOP,Shoprite,Soweto,Gauteng,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-820008,Mr. Thalente Ndawo,Retail,In-Store,CHK,Checkers,Soweto,Gauteng,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-827998,Andile Mshengu,Wholesale,In-Store,SHOP,Shoprite,Rustenburg,North West,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-664390,Sandile Gumbi,Retail,Online,USV,Usave,Mbombela,Mpumalanga,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-324378,Nobantu Nombela,Retail,Online,C60,Checkers Sixty60,Tembisa,Gauteng,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-975478,Mnumzane S'fiso Nkomoye,Bulk,In-Store,SHOP,Shoprite,Rustenburg,North West,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-342190,Thembisile Nyanda,Bulk,In-Store,SHOP,Shoprite,Mbombela,Mpumalanga,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-381043,Zenzele Mlawula,Wholesale,In-Store,USV,Usave,Rustenburg,North West,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-875484,Sibusisiwe Khwela,Bulk,In-Store,SHOP,Shoprite,Pietermaritzburg,KwaZulu-Natal,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-622332,Londisizwe Mbende-Nhlanhlampofu,Bulk,Online,CHK,Checkers,Soweto,Gauteng,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-687036,Mcebisi Dlambula,Wholesale,Online,USV,Usave,Soweto,Gauteng,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-472142,Sibongile Sibalukhulu,Bulk,Online,SHOP,Shoprite,Cape Town,Western Cape,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-271668,Bhuti Zenzele Cebekhulu,Wholesale,Online,C60,Checkers Sixty60,Polokwane,Limpopo,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-711146,Nhlanhla Mkholo-Nkwakha,Retail,Online,CHK,Checkers,Soweto,Gauteng,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-829080,Nhlanhla Gabhisa-Mshikila,Wholesale,Online,C60,Checkers Sixty60,Durban,KwaZulu-Natal,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-118572,Thuthukile Majola-Masuku,Wholesale,In-Store,C60,Checkers Sixty60,Rustenburg,North West,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-774755,Dumisani Ngobese,Wholesale,Online,SHOP,Shoprite,Cape Town,Western Cape,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-833130,Thandazile Sokhela,Retail,In-Store,CHK,Checkers,Tembisa,Gauteng,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-319618,Mandla Ndlala,Bulk,Online,C60,Checkers Sixty60,Rustenburg,North West,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-632607,Baba Bhekani Langa,Wholesale,Online,C60,Checkers Sixty60,Mbombela,Mpumalanga,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-577703,Sibusisiwe Ndondakusuka-Mabhoko,Bulk,Online,C60,Checkers Sixty60,Tembisa,Gauteng,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-346491,Nomvula Mavuso,Retail,Online,CHK,Checkers,Cape Town,Western Cape,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-682815,Londiwe Mntimande,Retail,In-Store,USV,Usave,Mbombela,Mpumalanga,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-542275,Mzamo Thela-Mdluli,Bulk,In-Store,CHK,Checkers,Polokwane,Limpopo,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-963228,Musa Nkonyeni-Maluleka,Bulk,In-Store,SHOP,Shoprite,Mbombela,Mpumalanga,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-388766,Thembisile Mzolo-Mthiyane,Wholesale,In-Store,CHK,Checkers,Soweto,Gauteng,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-928249,Zenzele Ncala,Wholesale,In-Store,CHK,Checkers,Tembisa,Gauteng,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-184989,Dr. Sphiwe Shamase,Wholesale,Online,CHK,Checkers,Pretoria,Gauteng,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-817258,Thabisile Mhlabandlovu,Retail,Online,USV,Usave,Soweto,Gauteng,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-291670,Thando Mbhense,Wholesale,In-Store,SHOP,Shoprite,Johannesburg,Gauteng,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-279774,Mr. Andile Mthembu,Retail,Online,C60,Checkers Sixty60,Pietermaritzburg,KwaZulu-Natal,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-503714,Mrs. Thandazile Ntombela,Wholesale,Online,CHK,Checkers,Mbombela,Mpumalanga,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-117860,Sibonelo Mawewe,Bulk,Online,C60,Checkers Sixty60,Durban,KwaZulu-Natal,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-114726,Thando Mzoneli-Mabanga,Retail,Online,C60,Checkers Sixty60,Rustenburg,North West,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-108245,Musa Chibini-Mbonane,Retail,In-Store,USV,Usave,Pretoria,Gauteng,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-633301,Thandiwe Mnisi,Bulk,In-Store,CHK,Checkers,Cape Town,Western Cape,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-990284,Nkosazana Busisiwe Dlawuza,Retail,In-Store,CHK,Checkers,Kimberley,Northern Cape,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-747781,Dr. Sphiwe Thole,Bulk,Online,USV,Usave,Pietermaritzburg,KwaZulu-Natal,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-640374,Mnumzane SimphiweyiNkosi Nyongwana,Retail,In-Store,CHK,Checkers,Cape Town,Western Cape,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-626573,Nomcebo Mhayise,Wholesale,Online,C60,Checkers Sixty60,Pretoria,Gauteng,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-261359,Dr. Lungile Nhlane,Retail,In-Store,CHK,Checkers,Mbombela,Mpumalanga,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-965544,Mandla Mayeza,Wholesale,In-Store,USV,Usave,Mbombela,Mpumalanga,CRM,2026-02-24 03:55:58,BATCH-20260224-01
