customer_code,customer_name,platform,channel,region
CUST748255SA,Thembile Msuthu,E-Commerce,Direct,North
CUST544559SA,Khanyisile Nontuli,E-Commerce,Direct,South
CUST936516SA,Gugulethu Mbende,E-Commerce,Referral,West
CUST976610SA,Nomasonto Khathi-Mhlungu,E-Commerce,Referral,Central
CUST646447SA,Nkosikazi Sibusisiwe Mboko,In-Store,Direct,North
CUST531958SA,Dade Thalente Ngubeni,In-Store,Direct,East
CUST314353SA,Thembisile Bikwayo,In-Store,Direct,East
CUST386251SA,Thabisa Gininda,In-Store,Direct,North
CUST436774SA,Nomalanga Sondini-Shozi,E-Commerce,Direct,East
CUST659827SA,Sandile Msuthu,In-Store,Direct,East
CUST278428SA,Bhuti S'fiso Madlula,E-Commerce,Referral,West
CUST756442SA,S'fiso Mtimande,E-Commerce,Direct,South
CUST178794SA,Simphiwe Somboni,E-Commerce,Referral,South
CUST649840SA,Baba Langalibalele Shezi,E-Commerce,Referral,East
CUST253961SA,S'fiso Sikhosana,E-Commerce,Direct,North
CUST115233SA,Andile Mntimande,E-Commerce,Retailer,East
CUST328930SA,Khanyisile Mlalazi,In-Store,Direct,East
CUST724042SA,Mthokozisi Mzimela,In-Store,Direct,East
CUST812617SA,Noxolo Thango-Sontuli,E-Commerce,Referral,East
CUST65306SA,Miss Nqobizitha Mabika,E-Commerce,Direct,East
CUST588132SA,Sithembiso Mthembu,E-Commerce,Direct,Central
CUST551002SA,Nomasonto Khuba,In-Store,Direct,North
CUST481992SA,Nomathalente Ndwandwe,In-Store,Direct,West
CUST371496SA,Mnumzane Sandile Mthiyane,E-Commerce,Direct,West
CUST201603SA,Mandla Ngobisi,In-Store,Direct,East
CUST312999SA,Mandlakhe Yeyeye,E-Commerce,Referral,East
CUST303042SA,Dr. Thabisile Silangwe,In-Store,Referral,South
CUST512756SA,Noxolo Mbuyisa,In-Store,Direct,Central
CUST587713SA,Mnumzane Mandlakhe Guliwe,E-Commerce,Retailer,South
CUST601334SA,Bhuti Mlungisi Miya,E-Commerce,Retailer,Central
CUST858130SA,Thembeka Jali,E-Commerce,Direct,East
CUST304561SA,Mandlakhe Siwele,E-Commerce,Retailer,East
CUST82868SA,Nonjabulo Phikela,E-Commerce,Direct,North
CUST268900SA,Dade Ndumiso Lwandle,In-Store,Retailer,North
CUST868170SA,Nokulunga Ngubane,In-Store,Direct,West
CUST729988SA,Langalibalele Gina-Ntaka,In-Store,Retailer,South
CUST776880SA,Nobantu Mahlase-Dlakadla,In-Store,Retailer,Central
CUST702371SA,Nkazimulo Nyembe,E-Commerce,Direct,East
CUST244146SA,Jabulani Mlambo,E-Commerce,Referral,West
CUST346337SA,Dade Dumisile Shezi,E-Commerce,Direct,South
CUST808206SA,Andile Ngcemu,In-Store,Direct,East
CUST974231SA,Mthokozisi Phetha,E-Commerce,Direct,Central
CUST980452SA,Noxolo Phakathwayo,E-Commerce,Retailer,East
CUST209144SA,Mnumzane Mcebisi Mashinini,In-Store,Referral,West
CUST677273SA,Zenzele Yengwayo,E-Commerce,Direct,West
CUST93806SA,Bhuti Lwandile Ndlala,In-Store,Referral,North
CUST774568SA,Mrs. Londiwe Mlungisi,E-Commerce,Retailer,Central
CUST925100SA,Miss Bhekizizwe Mjoli,In-Store,Retailer,South
CUST826236SA,Londiwe Thusi,E-Commerce,Retailer,West
CUST914663SA,Vusumuzi Dikane-Bhebhe,E-Commerce,Retailer,Central
CUST312886SA,Sihawukele Gengeshe-Mbokazi,E-Commerce,Retailer,South
CUST298384SA,Siphesihle Ndondakusuka,E-Commerce,Direct,East
CUST549787SA,Zibuyile Hhoyiyane,E-Commerce,Retailer,North
CUST892400SA,Nothando Manzi,E-Commerce,Referral,East
CUST202177SA,Mr. Mcebisi Khathi,E-Commerce,Referral,North
CUST766634SA,Siphesihle Makhunga,E-Commerce,Direct,South
CUST753504SA,Andile Thabekhulu,E-Commerce,Retailer,Central
CUST353487SA,Mnumzane S'fiso Shamase,In-Store,Direct,South
CUST794068SA,Lungile Nsele,E-Commerce,Retailer,East
CUST897734SA,Baba Thalente Mngwemkhulu,E-Commerce,Direct,West
CUST540310SA,Dumisani Mkhathini,E-Commerce,Direct,South
CUST701765SA,Lungile Hlomuka,E-Commerce,Retailer,East
CUST500646SA,Nobantu Bayeni,In-Store,Direct,Central
CUST273453SA,Nobantu Mphankomo,In-Store,Direct,East
CUST790371SA,Mcebisi Mathunjwa-Nkumane,In-Store,Retailer,North
CUST757997SA,Amahle Maluleka-Phethela,In-Store,Direct,Central
CUST377017SA,Dr. Bhekokwakhe Sangweni,E-Commerce,Retailer,East
CUST123967SA,Nomalanga Khanyeza,E-Commerce,Retailer,East
CUST425110SA,Bhuti Zenzele Sikwayo,In-Store,Retailer,East
CUST807236SA,SimphiweyiNkosi Gubhuza-Nyembezi,In-Store,Retailer,Central
CUST960632SA,Minenhle Nsukuza-Madlanduna,In-Store,Direct,South
CUST229772SA,Mzamo Jiyane,E-Commerce,Retailer,North
CUST477079SA,Nkosazana Nomvula Sikobi,E-Commerce,Retailer,North
CUST575914SA,Thandiwe Ndlanzi,E-Commerce,Direct,Central
CUST840952SA,Dr. Sphiwe Majola,E-Commerce,Referral,West
CUST713390SA,Bhuti Thando Fenya,E-Commerce,Retailer,South
CUST551033SA,Nqobizitha Sikwayo,In-Store,Retailer,South
CUST379358SA,Zenzele Ngungunyana,E-Commerce,Referral,North
CUST117659SA,Thalente Nene,In-Store,Referral,West
CUST946746SA,Mnqobi Nhlapho,In-Store,Referral,West
CUST562728SA,Lungile Mbende,E-Commerce,Retailer,North
CUST895993SA,Nonjabulo Gubhela,E-Commerce,Direct,East
CUST713341SA,SimphiweyiNkosi Nkomo,In-Store,Retailer,West
CUST512573SA,Vusumuzi Nandisa,In-Store,Direct,North
CUST467122SA,Mr. Musa Hadebe,E-Commerce,Referral,East
CUST538179SA,Nothando Ngungunyana,In-Store,Direct,North
CUST60541SA,Nothando Shabalala,In-Store,Referral,South
CUST846112SA,Siyabonga Bophela-Mjadu,E-Commerce,Direct,Central
CUST266817SA,Mrs. Thandeka Madide,E-Commerce,Direct,North
CUST606403SA,Bandile Mncwanga,In-Store,Direct,South
CUST361264SA,Ms. Olwethu Dlodlo,In-Store,Retailer,Central
CUST979981SA,Zenzele Msomi,E-Commerce,Retailer,North
CUST33276SA,Mthokozisi Khumbuza-Yengwayo,E-Commerce,Direct,South
CUST142007SA,Baba Minenhle Mgobhozi,E-Commerce,Referral,North
CUST470325SA,Mama Nomthandazo Fanisa,E-Commerce,Direct,Central
CUST715894SA,Bhuti Langalibalele Phethela,In-Store,Direct,East
CUST902075SA,Gugu Khuluse,E-Commerce,Referral,South
CUST563356SA,Nqobizitha Gwala,E-Commerce,Direct,North
CUST763214SA,Thalente Ayanda,In-Store,Direct,East
CUST792911SA,Mandlakhe Mshibe,In-Store,Retailer,North
CUST706215SA,Mama Olwethu Mgazi,In-Store,Direct,North
CUST863355SA,Lwandile Msamkhulu,E-Commerce,Direct,West
CUST362974SA,Mandla Lamula,E-Commerce,Direct,West
CUST982946SA,Ms. Bhekizizwe Phuthini,E-Commerce,Direct,Central
CUST439605SA,Thembeka Bikelwayo-Mahlalela,E-Commerce,Referral,North
CUST216092SA,Jabulani Nombela,E-Commerce,Direct,North
CUST35207SA,Sihawukele Shabalala,In-Store,Direct,North
CUST737449SA,Mrs. Nobantu Thenjwayo,In-Store,Direct,South
CUST46385SA,Nonjabulo Magubane,E-Commerce,Direct,West
CUST565979SA,Sphiwe Dlamlenze,E-Commerce,Retailer,South
CUST146942SA,Nomagugu Magubane,In-Store,Direct,North
CUST855413SA,Nkosazana Sibongile Nondaba,E-Commerce,Referral,North
CUST810065SA,Mnumzane Lwandile Mathunjwa,In-Store,Referral,East
CUST918823SA,Sibusiso Ncusi,E-Commerce,Referral,North
CUST231780SA,Nomalanga Manzezulu,E-Commerce,Direct,East
CUST583761SA,Zibuyile Thabizolo-Khuboni,E-Commerce,Referral,North
CUST656401SA,Baba Njabulo Mwandla,E-Commerce,Retailer,North
CUST49161SA,Siphesihle Shabane,E-Commerce,Retailer,East
CUST399669SA,Bhuti Mcebisi Sibhene,E-Commerce,Referral,East
CUST436548SA,Khanyisile Mathetha,E-Commerce,Retailer,North
CUST394747SA,Sphiwe Ndlanzi,In-Store,Referral,East
CUST496520SA,Thando Maduma,In-Store,Retailer,North
CUST315344SA,Miss Thembile Mshibe,E-Commerce,Direct,South
CUST959175SA,Njabulo Mlalazi,E-Commerce,Direct,North
CUST436740SA,Nqobizitha Hhoyiyane,E-Commerce,Retailer,South
CUST407286SA,Mandla Mabaso,E-Commerce,Referral,North
CUST346305SA,Mr. Zenzele Mphephethwa,In-Store,Direct,North
CUST888283SA,Dumisani Ndlandla,In-Store,Retailer,East
CUST759782SA,Dr. Bhekokwakhe Mangethe,E-Commerce,Retailer,South
CUST395489SA,Bhuti Sandile Dimbane,E-Commerce,Direct,East
CUST916057SA,Luyanda Vunisa,In-Store,Referral,West
CUST616126SA,Dr. Noxolo Mabhodla,In-Store,Retailer,South
CUST911709SA,Nomalanga Bhungane,E-Commerce,Direct,East
CUST222096SA,Siyabonga Gubhuza,E-Commerce,Direct,West
CUST783159SA,Baba Zenzele Mahlase,E-Commerce,Retailer,East
CUST729417SA,Thalente Mabhena-Mjoli,In-Store,Retailer,Central
CUST959579SA,Njabulo Mbanjwa,In-Store,Retailer,East
CUST813185SA,Mlungisi Mshikila-Ndiyema,E-Commerce,Referral,West
CUST680233SA,Nomalanga Maluleka,E-Commerce,Direct,West
CUST377114SA,Zibuyile Myeni,E-Commerce,Direct,North
CUST488640SA,Thabani Somfula,In-Store,Retailer,South
CUST492296SA,Mnumzane Zenzele Mabaso,E-Commerce,Retailer,North
CUST388712SA,Nomvula Dindi,In-Store,Direct,South
CUST589849SA,Dr. Thandeka Jali,E-Commerce,Direct,West
CUST17007SA,Njabulo Nkomose-Nkabinde,In-Store,Retailer,North
CUST754987SA,Nomagugu Jiyane,E-Commerce,Direct,East
CUST205721SA,Nkazimulo Mgazi,In-Store,Direct,East
CUST597467SA,Dr. Nozibusiso Ngcemu,E-Commerce,Direct,South
CUST686406SA,Mnumzane Mandla Xala,In-Store,Direct,South
CUST861501SA,Thandazile Nyongwana,E-Commerce,Retailer,South
CUST775520SA,Nothando Kholose,In-Store,Direct,South
CUST768367SA,Mnumzane Lungile Hlomuka,E-Commerce,Direct,South
CUST755303SA,Nozibusiso Khwane,E-Commerce,Direct,South
CUST961438SA,Siphesihle Dlebenkomo,E-Commerce,Direct,West
CUST549395SA,Thalente Duyaza,E-Commerce,Direct,West
CUST991101SA,Mrs. Thandiwe Bayeni,E-Commerce,Retailer,West
CUST432424SA,Thalente Nyazitla,E-Commerce,Referral,North
CUST242675SA,SimphiweyiNkosi Jibela,E-Commerce,Referral,West
CUST9585SA,Nhlanhla Mpumuza,E-Commerce,Retailer,West
CUST391329SA,Sandile Nyembe,E-Commerce,Direct,North
CUST699143SA,Noxolo Phungula-Mtumaseli,E-Commerce,Retailer,East
CUST16495SA,Njabulo Ngcobo,In-Store,Referral,North
CUST431319SA,Andile Ndawonde,In-Store,Direct,East
CUST757273SA,Njabulo Mashimane-Bikwayo,E-Commerce,Direct,South
CUST526611SA,Mama Thembile Khumalo,E-Commerce,Direct,North
CUST112214SA,Nhlanhla Jamile,E-Commerce,Direct,East
